seg_id,seg_atd,seg_lon,seg_lat,seg_lon_beg,seg_lat_beg,seg_lon_end,seg_lat_end,seg_npts,seg_ca_pts,seg_te_pts,h_ca_min,h_ca_mean,h_ca_max,h_ca_std,h_ca_p50,h_ca_p98,h_te_min,h_te_mean,h_te_max,h_te_interp,h_te_std,msw_flag,night_flag
516,16215,23.7872761639596,-13.5697578184039,23.7872899270336,-13.5698927286473,23.7872624008855,-13.5696229081606,40,27,13,2.16659200457684,10.4388320244541,16.0893396990205,3.38596094278209,10.6673032892534,16.0893396990205,1112.63110351562,1112.79351337139,1113.03283691406,1112.60434114863,0.133546796576421,2,1
517,16245,23.787248637827,-13.5694879979144,23.7872624008855,-13.5696229081606,23.7872348747685,-13.5693530876682,43,29,14,2.12833037594305,10.7133632121378,14.9144964743496,3.67662906497848,11.896185913959,14.9062417561198,1112.49682617188,1112.72899518694,1113.09033203125,1112.5370773928,0.164374592378937,2,1
518,16275,23.7872211117256,-13.569218177419,23.7872348747685,-13.5693530876682,23.7872073486826,-13.5690832671699,43,36,7,2.52255697909277,10.6662139982016,14.9701583364601,3.35139686507317,10.8123871455184,14.9598268985153,1112.76281738281,1112.95467703683,1113.07067871094,1112.71078368555,0.133306458260994,2,1
519,16305,23.7871935856552,-13.5689483569178,23.7872073486826,-13.5690832671699,23.7871798226277,-13.5688134466658,43,31,12,2.97312707095489,9.85018254604885,15.1913813011513,3.43568319669676,10.106880879841,15.1562754637255,1112.73876953125,1112.86200968424,1113.05419921875,1112.7325705092,0.100344084598501,2,1
520,16335,23.7871660596159,-13.5686785364108,23.7871798226277,-13.5688134466658,23.787152296604,-13.5685436261558,41,30,11,2.02181227992787,10.2627349972128,17.8327811142965,4.45489726676352,10.500938134634,17.8327811142965,1112.75402832031,1112.93465909091,1113.19299316406,1112.76507585543,0.141896718615828,2,1
521,16365,23.7871385336077,-13.5684087158979,23.787152296604,-13.5685436261558,23.7871247706113,-13.5682738056401,49,42,7,2.13500932013289,11.1482727328386,18.2699542037387,3.89124131781386,11.9146821246121,17.7498519309518,1112.73254394531,1112.9208984375,1113.19763183594,1112.72405278985,0.179545816594722,2,1
522,16395,23.7871110076305,-13.5681388953793,23.7871247706113,-13.5682738056401,23.7870972446497,-13.5680039851185,45,34,11,2.13175431562377,9.3976138788829,18.4901055448572,4.09095877689615,9.34631150587666,18.366256550422,1112.77966308594,1112.94496848366,1113.19213867188,1112.83281512862,0.138307288979926,2,1
523,16425,23.7870834816845,-13.5678690748548,23.7870972446497,-13.5680039851185,23.7870697187192,-13.5677341645911,47,39,8,2.098368923198,9.52246421047038,15.2717794650023,3.43237588549231,9.74557686423714,15.2464132540648,1112.84765625,1112.95574951172,1113.21313476562,1112.84996605409,0.157972608548537,2,1
524,16455,23.7870559557695,-13.5675992543245,23.7870697187192,-13.5677341645911,23.7870421928198,-13.5674643440579,47,36,11,2.06669707214542,8.59052341764578,13.4724661489315,3.20180986612117,8.89259796727379,13.4517345061951,1112.94873046875,1113.09748979048,1113.29870605469,1112.95519092403,0.113187017679994,2,1
525,16485,23.7870284298857,-13.5673294337883,23.7870421928198,-13.5674643440579,23.7870146669515,-13.5671945235188,40,24,16,5.0366148205444,13.4062914936037,18.5137243895836,4.19008810468084,14.7031778976127,18.5137243895836,1113.07067871094,1113.21116638184,1113.37463378906,1113.00829591116,0.0947018607530963,2,1
